,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
16403,23,admin.,single,professional.course,no,yes,no,cellular,jul,wed,429,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
11980,44,services,married,basic.9y,no,yes,no,telephone,jun,wed,162,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
36992,57,retired,divorced,basic.9y,no,no,no,cellular,jul,fri,897,3,999,0,nonexistent,-2.9,92.469,-33.6,1.059,5076.2,no
30759,50,technician,married,unknown,no,no,no,cellular,may,tue,95,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
24340,53,self-employed,married,basic.9y,no,yes,no,cellular,nov,mon,62,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
25764,34,blue-collar,married,basic.6y,unknown,yes,yes,cellular,nov,wed,182,2,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
17554,56,services,divorced,high.school,unknown,yes,no,cellular,jul,mon,761,8,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
24136,48,services,married,unknown,no,no,no,cellular,nov,mon,51,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
9395,31,services,married,high.school,no,yes,no,telephone,jun,fri,303,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
28234,40,retired,single,basic.4y,no,yes,yes,cellular,apr,tue,145,1,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,no
24645,38,admin.,single,basic.9y,no,yes,yes,cellular,nov,mon,501,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
19984,29,admin.,single,university.degree,no,yes,no,cellular,aug,fri,79,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
2856,49,services,married,high.school,no,yes,no,telephone,may,wed,214,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
36406,24,technician,single,professional.course,no,yes,no,cellular,jun,tue,211,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,no
22286,31,unemployed,married,university.degree,no,yes,no,cellular,aug,thu,71,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
12091,49,housemaid,divorced,basic.4y,no,no,no,telephone,jun,fri,114,4,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no
11413,30,blue-collar,single,basic.4y,no,yes,no,telephone,jun,fri,59,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
3788,29,management,single,university.degree,no,yes,no,telephone,may,fri,257,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
17294,56,admin.,married,university.degree,no,no,yes,cellular,jul,fri,188,9,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
26217,51,unemployed,divorced,university.degree,no,no,no,cellular,nov,thu,286,6,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,no
20224,31,technician,single,professional.course,no,no,no,cellular,aug,mon,370,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
12071,42,admin.,single,high.school,no,no,no,telephone,jun,fri,140,2,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no
12881,30,technician,single,professional.course,no,no,no,cellular,jul,tue,259,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
33729,34,technician,single,professional.course,no,yes,no,cellular,may,wed,19,11,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
36210,53,technician,divorced,high.school,no,yes,no,cellular,may,thu,151,4,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,no
460,44,admin.,single,basic.9y,unknown,no,no,telephone,may,tue,134,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
29553,32,admin.,married,high.school,no,yes,yes,telephone,apr,mon,24,1,999,2,failure,-1.8,93.075,-47.1,1.405,5099.1,no
9164,53,blue-collar,married,basic.4y,no,no,no,telephone,jun,fri,223,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
31704,51,services,divorced,basic.6y,no,no,yes,cellular,may,thu,122,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
1619,39,admin.,single,high.school,no,yes,no,telephone,may,fri,59,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
25413,33,admin.,single,high.school,no,no,no,cellular,nov,tue,436,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
8569,31,services,single,high.school,no,yes,no,telephone,jun,wed,89,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
37096,50,self-employed,married,unknown,no,unknown,unknown,cellular,jul,mon,506,2,999,0,nonexistent,-2.9,92.469,-33.6,0.914,5076.2,no
13956,40,retired,married,basic.4y,unknown,yes,no,cellular,jul,fri,1689,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
668,32,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,477,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
26178,29,blue-collar,married,high.school,no,yes,no,telephone,nov,thu,72,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
37517,39,admin.,married,basic.9y,unknown,no,no,cellular,aug,thu,371,2,999,0,nonexistent,-2.9,92.201,-31.4,0.873,5076.2,no
13885,32,blue-collar,single,professional.course,no,yes,no,cellular,jul,fri,165,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
17884,47,admin.,single,university.degree,no,no,no,cellular,jul,tue,108,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
11837,29,admin.,married,high.school,no,yes,no,telephone,jun,fri,21,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
38394,31,admin.,married,university.degree,no,yes,no,cellular,oct,tue,107,1,999,0,nonexistent,-3.4,92.431,-26.9,0.737,5017.5,no
28412,42,self-employed,married,university.degree,no,yes,no,cellular,apr,thu,290,2,999,1,failure,-1.8,93.075,-47.1,1.435,5099.1,no
8171,29,management,single,university.degree,no,no,no,telephone,jun,tue,161,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
3737,31,admin.,married,basic.9y,unknown,yes,no,telephone,may,fri,199,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
8841,30,blue-collar,married,basic.9y,no,yes,no,telephone,jun,thu,52,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
9734,35,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,mon,184,5,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
13723,46,blue-collar,single,basic.9y,unknown,yes,no,cellular,jul,thu,155,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
21243,35,housemaid,single,professional.course,no,yes,yes,cellular,aug,mon,111,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
4917,57,services,divorced,high.school,no,yes,no,telephone,may,wed,312,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
11885,32,admin.,married,university.degree,no,no,no,telephone,jun,fri,18,9,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
14424,44,services,divorced,basic.9y,no,no,no,cellular,jul,tue,805,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
9819,28,admin.,single,unknown,no,no,no,telephone,jun,wed,643,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
23950,33,unemployed,single,university.degree,no,yes,no,telephone,aug,fri,145,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
3740,46,admin.,divorced,university.degree,no,no,no,telephone,may,fri,897,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,yes
25299,50,entrepreneur,married,basic.9y,no,yes,no,cellular,nov,tue,241,2,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,no
6769,42,blue-collar,married,basic.4y,unknown,no,no,telephone,may,wed,545,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
22258,56,self-employed,married,basic.9y,no,yes,no,cellular,aug,thu,107,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
20467,45,admin.,married,high.school,unknown,yes,no,cellular,aug,tue,128,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
19850,50,services,married,basic.4y,no,no,no,cellular,aug,fri,95,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
39945,53,housemaid,married,high.school,no,yes,no,cellular,jun,fri,195,6,999,0,nonexistent,-1.7,94.055,-39.8,0.748,4991.6,no
36633,29,admin.,single,university.degree,no,no,no,telephone,jun,thu,247,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
24658,35,blue-collar,married,high.school,no,yes,yes,cellular,nov,mon,330,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
17787,57,admin.,single,university.degree,no,yes,no,cellular,jul,tue,69,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
1021,44,technician,married,professional.course,unknown,no,no,telephone,may,wed,203,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
12544,43,services,married,professional.course,no,yes,no,cellular,jul,mon,451,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
30639,25,management,single,university.degree,no,yes,no,cellular,may,mon,362,5,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,no
25301,38,self-employed,married,professional.course,no,no,no,cellular,nov,tue,1788,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,yes
23744,39,admin.,single,university.degree,no,yes,yes,cellular,aug,thu,48,8,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
35514,41,management,married,high.school,no,no,no,cellular,may,mon,216,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
3936,53,technician,married,professional.course,unknown,yes,yes,telephone,may,mon,579,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
15334,48,admin.,married,high.school,no,no,no,cellular,jul,fri,145,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
33684,29,blue-collar,married,high.school,no,yes,no,cellular,may,wed,66,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
1967,51,services,married,professional.course,unknown,no,no,telephone,may,fri,328,7,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1148,45,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,31,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
27683,37,admin.,married,high.school,no,yes,no,telephone,dec,fri,12,1,999,0,nonexistent,-0.2,92.756,-45.9,3.563,5176.3,no
36439,40,admin.,married,university.degree,no,yes,no,cellular,jun,tue,192,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
11441,48,blue-collar,married,basic.4y,no,no,no,telephone,jun,fri,470,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
26614,57,admin.,divorced,university.degree,no,yes,yes,cellular,nov,thu,1154,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,yes
19031,49,technician,married,professional.course,unknown,no,no,cellular,aug,tue,162,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
10413,35,admin.,divorced,high.school,no,no,yes,telephone,jun,mon,15,15,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
30901,29,admin.,single,university.degree,no,yes,yes,cellular,may,tue,76,1,999,2,failure,-1.8,92.893,-46.2,1.344,5099.1,no
20719,34,admin.,married,university.degree,no,no,no,cellular,aug,wed,202,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
24808,35,admin.,single,high.school,no,yes,no,cellular,nov,tue,106,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
9138,33,admin.,married,professional.course,no,yes,yes,telephone,jun,fri,248,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
26594,33,admin.,single,high.school,no,yes,no,cellular,nov,thu,172,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
36348,67,admin.,married,basic.4y,unknown,yes,no,cellular,jun,tue,177,2,999,1,failure,-2.9,92.963,-40.8,1.262,5076.2,no
2214,36,services,married,high.school,unknown,yes,no,telephone,may,mon,395,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
31477,48,entrepreneur,married,basic.6y,no,no,no,cellular,may,wed,1369,3,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
31609,29,admin.,married,high.school,no,yes,no,cellular,may,thu,556,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
12504,43,admin.,married,high.school,no,no,no,cellular,jul,mon,240,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
15430,33,admin.,married,university.degree,no,no,no,cellular,jul,fri,384,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
26497,35,services,divorced,high.school,no,no,no,cellular,nov,thu,410,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
1337,37,blue-collar,married,professional.course,no,yes,yes,telephone,may,thu,91,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
9179,55,services,married,high.school,unknown,yes,no,telephone,jun,fri,315,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
27495,34,technician,married,professional.course,no,yes,yes,cellular,nov,fri,379,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
17823,57,technician,married,basic.9y,no,no,no,cellular,jul,tue,94,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
31356,37,blue-collar,married,basic.4y,no,yes,no,cellular,may,wed,164,3,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
31040,53,admin.,married,university.degree,unknown,no,no,cellular,may,wed,160,7,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
19702,34,admin.,single,university.degree,no,no,no,cellular,aug,thu,161,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
14343,52,services,married,high.school,unknown,no,no,cellular,jul,mon,81,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
5036,50,blue-collar,married,basic.4y,no,no,no,telephone,may,wed,304,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
27341,35,management,married,university.degree,no,yes,no,cellular,nov,fri,152,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
34002,29,blue-collar,married,basic.9y,no,no,no,cellular,may,wed,1966,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
20583,46,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,tue,58,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
3873,24,student,single,university.degree,no,yes,yes,telephone,may,fri,65,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
22540,48,technician,married,university.degree,no,no,no,cellular,aug,fri,251,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
629,40,technician,married,professional.course,no,no,no,telephone,may,tue,191,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37667,64,retired,married,high.school,unknown,no,no,cellular,aug,tue,301,1,999,1,failure,-2.9,92.201,-31.4,0.859,5076.2,yes
23645,45,admin.,married,unknown,unknown,no,no,cellular,aug,thu,7,14,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
14768,27,services,married,high.school,no,no,no,cellular,jul,wed,151,4,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
16569,37,technician,single,university.degree,no,yes,no,cellular,jul,wed,256,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
25322,32,blue-collar,married,basic.9y,no,yes,no,cellular,nov,tue,61,2,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,no
2394,56,admin.,divorced,unknown,unknown,yes,yes,telephone,may,tue,31,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
40127,35,technician,single,professional.course,no,yes,no,cellular,jul,tue,360,1,11,2,success,-1.7,94.215,-40.3,0.835,4991.6,yes
33163,35,blue-collar,married,high.school,no,yes,no,cellular,may,tue,201,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
12008,28,admin.,single,professional.course,no,no,yes,telephone,jun,thu,253,1,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no
29307,37,technician,divorced,high.school,no,no,yes,telephone,apr,fri,318,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
30305,31,admin.,single,university.degree,no,yes,yes,cellular,apr,thu,102,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
27539,37,management,married,university.degree,no,yes,no,cellular,nov,fri,33,8,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
34138,32,blue-collar,single,basic.4y,no,yes,yes,cellular,may,wed,1805,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
40952,50,admin.,married,high.school,no,yes,no,cellular,oct,thu,326,1,999,0,nonexistent,-1.1,94.601,-49.5,0.987,4963.6,yes
18545,27,blue-collar,single,basic.4y,no,yes,no,cellular,jul,thu,225,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
17290,42,admin.,married,university.degree,no,no,yes,cellular,jul,fri,400,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
17740,59,retired,divorced,university.degree,unknown,yes,no,cellular,jul,tue,165,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
26506,31,management,single,university.degree,no,yes,no,telephone,nov,thu,207,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
5323,47,services,married,professional.course,no,yes,no,telephone,may,fri,226,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40282,66,retired,divorced,high.school,no,no,no,cellular,jul,wed,211,1,999,1,failure,-1.7,94.215,-40.3,0.896,4991.6,no
14245,43,services,divorced,high.school,no,no,no,cellular,jul,mon,122,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
2114,33,technician,married,basic.9y,no,yes,no,telephone,may,mon,315,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1236,27,student,single,high.school,unknown,no,no,telephone,may,thu,158,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
7000,32,technician,married,professional.course,no,no,no,telephone,may,thu,27,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
28618,43,blue-collar,married,basic.6y,no,no,no,cellular,apr,wed,623,2,999,2,failure,-1.8,93.075,-47.1,1.415,5099.1,no
11188,36,management,divorced,university.degree,no,no,no,telephone,jun,thu,221,12,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
2917,36,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,179,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
27260,50,technician,married,university.degree,no,yes,no,cellular,nov,fri,100,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
3207,45,unknown,married,unknown,no,no,yes,telephone,may,thu,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
4167,52,services,divorced,high.school,no,no,no,telephone,may,mon,579,5,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,yes
40485,27,admin.,married,university.degree,no,no,no,cellular,aug,thu,312,3,6,1,success,-1.7,94.027,-38.3,0.899,4991.6,yes
31594,32,admin.,married,high.school,no,no,no,cellular,may,thu,104,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
28873,26,student,single,university.degree,no,no,yes,cellular,apr,thu,551,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
13767,23,blue-collar,single,basic.9y,no,yes,no,cellular,jul,thu,119,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
6213,52,management,married,professional.course,no,yes,no,telephone,may,tue,709,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
5372,41,services,divorced,unknown,no,no,no,telephone,may,fri,211,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
18066,35,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,wed,85,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
28786,31,admin.,married,high.school,no,no,no,cellular,apr,thu,125,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
1959,46,housemaid,married,basic.9y,no,no,no,telephone,may,fri,322,5,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
37309,57,entrepreneur,married,professional.course,no,yes,no,telephone,aug,mon,157,1,3,1,success,-2.9,92.201,-31.4,0.884,5076.2,no
27865,33,blue-collar,single,high.school,no,yes,no,cellular,mar,wed,163,1,999,0,nonexistent,-1.8,92.843,-50.0,1.602,5099.1,no
25998,34,admin.,married,university.degree,no,yes,no,cellular,nov,wed,157,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
30150,46,admin.,married,high.school,no,no,no,cellular,apr,thu,243,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
7302,53,retired,married,basic.4y,no,no,no,telephone,may,thu,101,23,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
17242,41,admin.,married,basic.9y,unknown,no,no,telephone,jul,fri,259,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
37761,35,admin.,married,university.degree,no,yes,no,cellular,aug,fri,419,5,3,2,success,-2.9,92.201,-31.4,0.849,5076.2,no
24927,39,management,married,high.school,no,yes,no,cellular,nov,tue,84,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
973,37,admin.,divorced,university.degree,no,yes,no,telephone,may,wed,72,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
6079,38,blue-collar,married,basic.6y,unknown,no,yes,telephone,may,tue,132,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
22927,57,blue-collar,married,basic.9y,no,yes,no,cellular,aug,mon,365,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
19652,53,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,thu,446,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
19859,30,admin.,divorced,university.degree,no,unknown,unknown,cellular,aug,fri,316,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
38776,38,admin.,married,university.degree,no,no,no,cellular,nov,thu,126,1,7,4,failure,-3.4,92.649,-30.1,0.714,5017.5,yes
6457,34,admin.,single,high.school,no,yes,no,telephone,may,wed,593,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40920,59,services,married,university.degree,no,yes,no,cellular,oct,mon,383,2,999,2,failure,-1.1,94.601,-49.5,0.977,4963.6,yes
9572,26,student,single,high.school,no,no,no,telephone,jun,mon,901,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
6147,39,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,395,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
28010,54,blue-collar,married,professional.course,no,no,no,cellular,apr,thu,2870,2,999,0,nonexistent,-1.8,93.075,-47.1,1.483,5099.1,no
28487,26,unemployed,single,university.degree,no,yes,no,cellular,apr,tue,62,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,no
2787,46,management,divorced,university.degree,no,unknown,unknown,telephone,may,wed,201,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
820,31,admin.,single,university.degree,no,no,no,telephone,may,wed,992,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes
12752,30,admin.,divorced,high.school,no,yes,no,telephone,jul,tue,58,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
37070,40,technician,married,high.school,no,yes,no,cellular,jul,wed,475,3,3,1,success,-2.9,92.469,-33.6,1.029,5076.2,no
18101,34,admin.,married,university.degree,unknown,unknown,unknown,telephone,jul,wed,171,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
2002,59,management,married,university.degree,no,no,no,telephone,may,mon,460,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
5995,41,blue-collar,divorced,basic.9y,unknown,no,no,telephone,may,tue,123,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
19240,44,unemployed,married,high.school,unknown,yes,no,cellular,aug,wed,209,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
24884,51,admin.,married,high.school,no,yes,no,cellular,nov,tue,280,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
25964,38,blue-collar,single,basic.6y,no,yes,no,cellular,nov,wed,328,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
6801,33,admin.,divorced,university.degree,no,no,no,telephone,may,wed,325,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
22752,33,technician,married,high.school,no,yes,yes,cellular,aug,mon,85,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
9203,38,admin.,married,university.degree,no,no,no,telephone,jun,fri,460,4,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,yes
